timestamp,name,cpu,memory
2026-08-28T00:51:36.0000149-06:00,meridian-api,1.18%,"195.3MiB / 7.651GiB"
2026-08-28T00:51:36.0000149-06:00,meridian-postgres,0.00%,"37.85MiB / 7.651GiB"
2026-08-28T00:51:36.0000149-06:00,meridian-redis,0.30%,"6.652MiB / 7.651GiB"
2026-08-28T00:51:40.1174080-06:00,meridian-api,0.19%,"195.2MiB / 7.651GiB"
2026-08-28T00:51:40.1174080-06:00,meridian-postgres,0.00%,"37.84MiB / 7.651GiB"
2026-08-28T00:51:40.1174080-06:00,meridian-redis,3.25%,"5.777MiB / 7.651GiB"
2026-08-28T00:51:44.2230086-06:00,meridian-api,17.36%,"198.2MiB / 7.651GiB"
2026-08-28T00:51:44.2230086-06:00,meridian-postgres,1.49%,"41.3MiB / 7.651GiB"
2026-08-28T00:51:44.2230086-06:00,meridian-redis,2.71%,"6.285MiB / 7.651GiB"
2026-08-28T00:51:48.3396201-06:00,meridian-api,15.35%,"199.9MiB / 7.651GiB"
2026-08-28T00:51:48.3396201-06:00,meridian-postgres,1.52%,"41.07MiB / 7.651GiB"
2026-08-28T00:51:48.3396201-06:00,meridian-redis,2.81%,"10.81MiB / 7.651GiB"
2026-08-28T00:51:52.4474763-06:00,meridian-api,9.25%,"202.2MiB / 7.651GiB"
2026-08-28T00:51:52.4474763-06:00,meridian-postgres,1.53%,"41.16MiB / 7.651GiB"
2026-08-28T00:51:52.4474763-06:00,meridian-redis,0.32%,"5.852MiB / 7.651GiB"
2026-08-28T00:51:56.5449865-06:00,meridian-api,7.49%,"204.3MiB / 7.651GiB"
2026-08-28T00:51:56.5449865-06:00,meridian-postgres,1.58%,"41.84MiB / 7.651GiB"
2026-08-28T00:51:56.5449865-06:00,meridian-redis,0.31%,"6.516MiB / 7.651GiB"
2026-08-28T00:52:00.6536692-06:00,meridian-api,7.28%,"203.7MiB / 7.651GiB"
2026-08-28T00:52:00.6536692-06:00,meridian-postgres,1.53%,"41.62MiB / 7.651GiB"
2026-08-28T00:52:00.6536692-06:00,meridian-redis,0.32%,"6.383MiB / 7.651GiB"
2026-08-28T00:52:04.7660455-06:00,meridian-api,14.57%,"204.8MiB / 7.651GiB"
2026-08-28T00:52:04.7660455-06:00,meridian-postgres,1.54%,"42.15MiB / 7.651GiB"
2026-08-28T00:52:04.7660455-06:00,meridian-redis,2.87%,"6.246MiB / 7.651GiB"
2026-08-28T00:52:08.8761872-06:00,meridian-api,7.35%,"204.3MiB / 7.651GiB"
2026-08-28T00:52:08.8761872-06:00,meridian-postgres,1.37%,"41.99MiB / 7.651GiB"
2026-08-28T00:52:08.8761872-06:00,meridian-redis,2.84%,"6.922MiB / 7.651GiB"
2026-08-28T00:52:12.9810740-06:00,meridian-api,7.38%,"204.5MiB / 7.651GiB"
2026-08-28T00:52:12.9810740-06:00,meridian-postgres,1.43%,"42.32MiB / 7.651GiB"
2026-08-28T00:52:12.9810740-06:00,meridian-redis,0.35%,"6.895MiB / 7.651GiB"
2026-08-28T00:52:17.0942103-06:00,meridian-api,22.06%,"206MiB / 7.651GiB"
2026-08-28T00:52:17.0942103-06:00,meridian-postgres,1.28%,"41.99MiB / 7.651GiB"
2026-08-28T00:52:17.0942103-06:00,meridian-redis,0.32%,"6.348MiB / 7.651GiB"
2026-08-28T00:52:21.2026186-06:00,meridian-api,7.18%,"204.7MiB / 7.651GiB"
2026-08-28T00:52:21.2026186-06:00,meridian-postgres,1.65%,"42.68MiB / 7.651GiB"
2026-08-28T00:52:21.2026186-06:00,meridian-redis,0.35%,"6.051MiB / 7.651GiB"
2026-08-28T00:52:25.3061307-06:00,meridian-api,7.28%,"206.5MiB / 7.651GiB"
2026-08-28T00:52:25.3061307-06:00,meridian-postgres,1.47%,"42.31MiB / 7.651GiB"
2026-08-28T00:52:25.3061307-06:00,meridian-redis,0.34%,"6.211MiB / 7.651GiB"
2026-08-28T00:52:29.4022874-06:00,meridian-api,13.97%,"207.6MiB / 7.651GiB"
2026-08-28T00:52:29.4022874-06:00,meridian-postgres,1.36%,"41.86MiB / 7.651GiB"
2026-08-28T00:52:29.4022874-06:00,meridian-redis,0.32%,"6.211MiB / 7.651GiB"
2026-08-28T00:52:33.5005163-06:00,meridian-api,7.22%,"207.7MiB / 7.651GiB"
2026-08-28T00:52:33.5005163-06:00,meridian-postgres,1.64%,"41.79MiB / 7.651GiB"
2026-08-28T00:52:33.5005163-06:00,meridian-redis,0.34%,"6.68MiB / 7.651GiB"
2026-08-28T00:52:37.6058524-06:00,meridian-api,31.58%,"209.5MiB / 7.651GiB"
2026-08-28T00:52:37.6058524-06:00,meridian-postgres,1.34%,"42.5MiB / 7.651GiB"
2026-08-28T00:52:37.6058524-06:00,meridian-redis,0.33%,"6.387MiB / 7.651GiB"
2026-08-28T00:52:41.7156792-06:00,meridian-api,0.94%,"209.1MiB / 7.651GiB"
2026-08-28T00:52:41.7156792-06:00,meridian-postgres,0.02%,"42.29MiB / 7.651GiB"
2026-08-28T00:52:41.7156792-06:00,meridian-redis,0.30%,"6.344MiB / 7.651GiB"
2026-08-28T00:52:45.8213285-06:00,meridian-api,0.31%,"209.3MiB / 7.651GiB"
2026-08-28T00:52:45.8213285-06:00,meridian-postgres,0.02%,"42.02MiB / 7.651GiB"
2026-08-28T00:52:45.8213285-06:00,meridian-redis,0.30%,"6.082MiB / 7.651GiB"
2026-08-28T00:52:49.9150187-06:00,meridian-api,0.29%,"165.8MiB / 7.651GiB"
2026-08-28T00:52:49.9150187-06:00,meridian-postgres,0.46%,"42.41MiB / 7.651GiB"
2026-08-28T00:52:49.9150187-06:00,meridian-redis,2.82%,"6.41MiB / 7.651GiB"
2026-08-28T00:52:54.0273025-06:00,meridian-api,0.28%,"166.7MiB / 7.651GiB"
2026-08-28T00:52:54.0273025-06:00,meridian-postgres,0.00%,"39.89MiB / 7.651GiB"
2026-08-28T00:52:54.0273025-06:00,meridian-redis,2.66%,"6.43MiB / 7.651GiB"
2026-08-28T00:52:58.1388204-06:00,meridian-api,0.28%,"167.4MiB / 7.651GiB"
