timestamp,name,cpu,memory
2026-08-28T01:12:03.9054159-06:00,meridian-api,0.00%,"634.9MiB / 7.651GiB"
2026-08-28T01:12:03.9054159-06:00,meridian-postgres,0.00%,"39.62MiB / 7.651GiB"
2026-08-28T01:12:03.9054159-06:00,meridian-redis,2.77%,"6.25MiB / 7.651GiB"
2026-08-28T01:12:09.0186735-06:00,meridian-api,98.59%,"636.4MiB / 7.651GiB"
2026-08-28T01:12:09.0186735-06:00,meridian-postgres,13.17%,"59.15MiB / 7.651GiB"
2026-08-28T01:12:09.0186735-06:00,meridian-redis,3.00%,"6.598MiB / 7.651GiB"
2026-08-28T01:12:14.1301114-06:00,meridian-api,86.35%,"636.9MiB / 7.651GiB"
2026-08-28T01:12:14.1301114-06:00,meridian-postgres,18.61%,"61.3MiB / 7.651GiB"
2026-08-28T01:12:14.1301114-06:00,meridian-redis,2.98%,"6.172MiB / 7.651GiB"
2026-08-28T01:12:19.2559609-06:00,meridian-api,76.75%,"636.8MiB / 7.651GiB"
2026-08-28T01:12:19.2559609-06:00,meridian-postgres,19.10%,"61.74MiB / 7.651GiB"
2026-08-28T01:12:19.2559609-06:00,meridian-redis,0.36%,"5.875MiB / 7.651GiB"
2026-08-28T01:12:24.3730485-06:00,meridian-api,76.78%,"637.2MiB / 7.651GiB"
2026-08-28T01:12:24.3730485-06:00,meridian-postgres,18.72%,"47.95MiB / 7.651GiB"
2026-08-28T01:12:24.3730485-06:00,meridian-redis,2.79%,"6.609MiB / 7.651GiB"
2026-08-28T01:12:29.4980559-06:00,meridian-api,92.14%,"637MiB / 7.651GiB"
2026-08-28T01:12:29.4980559-06:00,meridian-postgres,20.39%,"53.16MiB / 7.651GiB"
2026-08-28T01:12:29.4980559-06:00,meridian-redis,0.35%,"6.57MiB / 7.651GiB"
2026-08-28T01:12:34.6272355-06:00,meridian-api,78.22%,"637.1MiB / 7.651GiB"
2026-08-28T01:12:34.6272355-06:00,meridian-postgres,19.14%,"52.86MiB / 7.651GiB"
2026-08-28T01:12:34.6272355-06:00,meridian-redis,0.29%,"6.465MiB / 7.651GiB"
2026-08-28T01:12:39.7423765-06:00,meridian-api,93.81%,"636.6MiB / 7.651GiB"
2026-08-28T01:12:39.7423765-06:00,meridian-postgres,18.71%,"50.58MiB / 7.651GiB"
2026-08-28T01:12:39.7423765-06:00,meridian-redis,0.32%,"6.387MiB / 7.651GiB"
2026-08-28T01:12:44.8546345-06:00,meridian-api,79.25%,"637.1MiB / 7.651GiB"
2026-08-28T01:12:44.8546345-06:00,meridian-postgres,19.17%,"53.15MiB / 7.651GiB"
2026-08-28T01:12:44.8546345-06:00,meridian-redis,0.33%,"6.152MiB / 7.651GiB"
2026-08-28T01:12:49.9675457-06:00,meridian-api,81.45%,"637MiB / 7.651GiB"
2026-08-28T01:12:49.9675457-06:00,meridian-postgres,19.58%,"58.01MiB / 7.651GiB"
2026-08-28T01:12:49.9675457-06:00,meridian-redis,0.32%,"6.293MiB / 7.651GiB"
2026-08-28T01:12:55.1021853-06:00,meridian-api,77.27%,"637.7MiB / 7.651GiB"
2026-08-28T01:12:55.1021853-06:00,meridian-postgres,20.61%,"61.52MiB / 7.651GiB"
2026-08-28T01:12:55.1021853-06:00,meridian-redis,0.32%,"6.527MiB / 7.651GiB"
2026-08-28T01:13:00.2252106-06:00,meridian-api,79.79%,"636.9MiB / 7.651GiB"
2026-08-28T01:13:00.2252106-06:00,meridian-postgres,18.01%,"62.87MiB / 7.651GiB"
2026-08-28T01:13:00.2252106-06:00,meridian-redis,0.29%,"6.852MiB / 7.651GiB"
2026-08-28T01:13:05.3425992-06:00,meridian-api,79.87%,"637.2MiB / 7.651GiB"
2026-08-28T01:13:05.3425992-06:00,meridian-postgres,19.34%,"50.39MiB / 7.651GiB"
2026-08-28T01:13:05.3425992-06:00,meridian-redis,0.29%,"6.57MiB / 7.651GiB"
