timestamp,name,cpu,memory
2026-08-28T00:56:26.6351718-06:00,meridian-api,0.01%,"170.9MiB / 7.651GiB"
2026-08-28T00:56:26.6351718-06:00,meridian-postgres,0.00%,"39.9MiB / 7.651GiB"
2026-08-28T00:56:26.6351718-06:00,meridian-redis,2.83%,"6.258MiB / 7.651GiB"
2026-08-28T00:56:31.7580228-06:00,meridian-api,45.62%,"200.6MiB / 7.651GiB"
2026-08-28T00:56:31.7580228-06:00,meridian-postgres,5.73%,"43.23MiB / 7.651GiB"
2026-08-28T00:56:31.7580228-06:00,meridian-redis,2.73%,"5.922MiB / 7.651GiB"
2026-08-28T00:56:36.8606981-06:00,meridian-api,40.70%,"208MiB / 7.651GiB"
2026-08-28T00:56:36.8606981-06:00,meridian-postgres,5.84%,"45.69MiB / 7.651GiB"
2026-08-28T00:56:36.8606981-06:00,meridian-redis,2.84%,"6.004MiB / 7.651GiB"
2026-08-28T00:56:41.9611810-06:00,meridian-api,33.43%,"208.9MiB / 7.651GiB"
2026-08-28T00:56:41.9611810-06:00,meridian-postgres,5.95%,"43.28MiB / 7.651GiB"
2026-08-28T00:56:41.9611810-06:00,meridian-redis,3.02%,"6.438MiB / 7.651GiB"
2026-08-28T00:56:47.0602754-06:00,meridian-api,35.62%,"209.2MiB / 7.651GiB"
2026-08-28T00:56:47.0602754-06:00,meridian-postgres,5.57%,"43.21MiB / 7.651GiB"
2026-08-28T00:56:47.0602754-06:00,meridian-redis,2.86%,"5.715MiB / 7.651GiB"
2026-08-28T00:56:52.1771546-06:00,meridian-api,25.07%,"215.3MiB / 7.651GiB"
2026-08-28T00:56:52.1771546-06:00,meridian-postgres,5.51%,"43.27MiB / 7.651GiB"
2026-08-28T00:56:52.1771546-06:00,meridian-redis,2.76%,"6.051MiB / 7.651GiB"
2026-08-28T00:56:57.2930633-06:00,meridian-api,27.81%,"225.2MiB / 7.651GiB"
2026-08-28T00:56:57.2930633-06:00,meridian-postgres,5.66%,"43.58MiB / 7.651GiB"
2026-08-28T00:56:57.2930633-06:00,meridian-redis,2.94%,"6.324MiB / 7.651GiB"
2026-08-28T00:57:02.3986700-06:00,meridian-api,32.28%,"225.1MiB / 7.651GiB"
2026-08-28T00:57:02.3986700-06:00,meridian-postgres,5.47%,"43.14MiB / 7.651GiB"
2026-08-28T00:57:02.3986700-06:00,meridian-redis,3.05%,"6.445MiB / 7.651GiB"
2026-08-28T00:57:07.4952031-06:00,meridian-api,11.63%,"225.8MiB / 7.651GiB"
2026-08-28T00:57:07.4952031-06:00,meridian-postgres,0.15%,"42.94MiB / 7.651GiB"
2026-08-28T00:57:07.4952031-06:00,meridian-redis,2.77%,"6.629MiB / 7.651GiB"
2026-08-28T00:57:12.5932250-06:00,meridian-api,11.76%,"233.7MiB / 7.651GiB"
2026-08-28T00:57:12.5932250-06:00,meridian-postgres,0.15%,"43.17MiB / 7.651GiB"
2026-08-28T00:57:12.5932250-06:00,meridian-redis,0.32%,"6.621MiB / 7.651GiB"
2026-08-28T00:57:17.7163596-06:00,meridian-api,15.74%,"234.8MiB / 7.651GiB"
2026-08-28T00:57:17.7163596-06:00,meridian-postgres,2.21%,"43.04MiB / 7.651GiB"
2026-08-28T00:57:17.7163596-06:00,meridian-redis,0.27%,"6.715MiB / 7.651GiB"
2026-08-28T00:57:22.8270377-06:00,meridian-api,25.01%,"235.7MiB / 7.651GiB"
2026-08-28T00:57:22.8270377-06:00,meridian-postgres,5.39%,"43.32MiB / 7.651GiB"
2026-08-28T00:57:22.8270377-06:00,meridian-redis,0.33%,"6.137MiB / 7.651GiB"
2026-08-28T00:57:27.9333437-06:00,meridian-api,34.52%,"236MiB / 7.651GiB"
2026-08-28T00:57:27.9333437-06:00,meridian-postgres,5.66%,"43.1MiB / 7.651GiB"
2026-08-28T00:57:27.9333437-06:00,meridian-redis,0.31%,"6.363MiB / 7.651GiB"
2026-08-28T00:57:33.0433992-06:00,meridian-api,0.00%,"235.6MiB / 7.651GiB"
2026-08-28T00:57:33.0433992-06:00,meridian-postgres,0.00%,"43.64MiB / 7.651GiB"
2026-08-28T00:57:33.0433992-06:00,meridian-redis,0.34%,"6.43MiB / 7.651GiB"
