timestamp,name,cpu,memory
2026-08-28T01:09:59.3472016-06:00,meridian-api,0.01%,"635.1MiB / 7.651GiB"
2026-08-28T01:09:59.3472016-06:00,meridian-postgres,5.98%,"40.38MiB / 7.651GiB"
2026-08-28T01:09:59.3472016-06:00,meridian-redis,0.32%,"6.402MiB / 7.651GiB"
2026-08-28T01:10:04.4823762-06:00,meridian-api,95.00%,"636.3MiB / 7.651GiB"
2026-08-28T01:10:04.4823762-06:00,meridian-postgres,24.96%,"53.12MiB / 7.651GiB"
2026-08-28T01:10:04.4823762-06:00,meridian-redis,0.33%,"6.328MiB / 7.651GiB"
2026-08-28T01:10:09.6301775-06:00,meridian-api,67.57%,"636.4MiB / 7.651GiB"
2026-08-28T01:10:09.6301775-06:00,meridian-postgres,22.53%,"57.12MiB / 7.651GiB"
2026-08-28T01:10:09.6301775-06:00,meridian-redis,0.30%,"6.422MiB / 7.651GiB"
2026-08-28T01:10:14.7520516-06:00,meridian-api,67.91%,"636.3MiB / 7.651GiB"
2026-08-28T01:10:14.7520516-06:00,meridian-postgres,16.61%,"59.31MiB / 7.651GiB"
2026-08-28T01:10:14.7520516-06:00,meridian-redis,0.29%,"6.516MiB / 7.651GiB"
2026-08-28T01:10:19.8737894-06:00,meridian-api,67.29%,"637.2MiB / 7.651GiB"
2026-08-28T01:10:19.8737894-06:00,meridian-postgres,21.37%,"70.3MiB / 7.651GiB"
2026-08-28T01:10:19.8737894-06:00,meridian-redis,0.32%,"5.879MiB / 7.651GiB"
2026-08-28T01:10:24.9831704-06:00,meridian-api,79.23%,"636.7MiB / 7.651GiB"
2026-08-28T01:10:24.9831704-06:00,meridian-postgres,16.34%,"62.02MiB / 7.651GiB"
2026-08-28T01:10:24.9831704-06:00,meridian-redis,0.32%,"6.16MiB / 7.651GiB"
2026-08-28T01:10:30.1144361-06:00,meridian-api,66.30%,"636.6MiB / 7.651GiB"
2026-08-28T01:10:30.1144361-06:00,meridian-postgres,16.04%,"48.24MiB / 7.651GiB"
2026-08-28T01:10:30.1144361-06:00,meridian-redis,0.30%,"6.555MiB / 7.651GiB"
2026-08-28T01:10:35.2210244-06:00,meridian-api,69.42%,"636.6MiB / 7.651GiB"
2026-08-28T01:10:35.2210244-06:00,meridian-postgres,16.66%,"47.86MiB / 7.651GiB"
2026-08-28T01:10:35.2210244-06:00,meridian-redis,0.29%,"6.109MiB / 7.651GiB"
2026-08-28T01:10:40.3458159-06:00,meridian-api,67.46%,"637.1MiB / 7.651GiB"
2026-08-28T01:10:40.3458159-06:00,meridian-postgres,16.73%,"48.07MiB / 7.651GiB"
2026-08-28T01:10:40.3458159-06:00,meridian-redis,0.30%,"6.285MiB / 7.651GiB"
2026-08-28T01:10:45.4810811-06:00,meridian-api,70.52%,"636MiB / 7.651GiB"
2026-08-28T01:10:45.4810811-06:00,meridian-postgres,16.30%,"50.65MiB / 7.651GiB"
2026-08-28T01:10:45.4810811-06:00,meridian-redis,0.31%,"6.406MiB / 7.651GiB"
2026-08-28T01:10:50.5927603-06:00,meridian-api,67.96%,"636.6MiB / 7.651GiB"
2026-08-28T01:10:50.5927603-06:00,meridian-postgres,16.55%,"50.73MiB / 7.651GiB"
2026-08-28T01:10:50.5927603-06:00,meridian-redis,0.29%,"6.566MiB / 7.651GiB"
2026-08-28T01:10:55.7126716-06:00,meridian-api,69.45%,"636.4MiB / 7.651GiB"
2026-08-28T01:10:55.7126716-06:00,meridian-postgres,21.33%,"48.29MiB / 7.651GiB"
2026-08-28T01:10:55.7126716-06:00,meridian-redis,0.31%,"6.246MiB / 7.651GiB"
2026-08-28T01:11:00.8255167-06:00,meridian-api,66.69%,"637MiB / 7.651GiB"
2026-08-28T01:11:00.8255167-06:00,meridian-postgres,22.42%,"48.09MiB / 7.651GiB"
2026-08-28T01:11:00.8255167-06:00,meridian-redis,0.29%,"6.008MiB / 7.651GiB"
2026-08-28T01:11:05.9482697-06:00,meridian-api,14.07%,"635.4MiB / 7.651GiB"
2026-08-28T01:11:05.9482697-06:00,meridian-postgres,0.51%,"60.52MiB / 7.651GiB"
2026-08-28T01:11:05.9482697-06:00,meridian-redis,0.34%,"5.988MiB / 7.651GiB"
