timestamp,name,cpu,memory
2026-08-28T01:13:57.6692992-06:00,meridian-api,9.45%,"635.2MiB / 7.651GiB"
2026-08-28T01:13:57.6692992-06:00,meridian-postgres,0.61%,"39.61MiB / 7.651GiB"
2026-08-28T01:13:57.6692992-06:00,meridian-redis,0.34%,"6.496MiB / 7.651GiB"
2026-08-28T01:14:02.7907619-06:00,meridian-api,119.29%,"637MiB / 7.651GiB"
2026-08-28T01:14:02.7907619-06:00,meridian-postgres,33.56%,"61.77MiB / 7.651GiB"
2026-08-28T01:14:02.7907619-06:00,meridian-redis,0.38%,"6.66MiB / 7.651GiB"
2026-08-28T01:14:07.9183013-06:00,meridian-api,104.68%,"638MiB / 7.651GiB"
2026-08-28T01:14:07.9183013-06:00,meridian-postgres,27.53%,"62.68MiB / 7.651GiB"
2026-08-28T01:14:07.9183013-06:00,meridian-redis,0.31%,"6.777MiB / 7.651GiB"
2026-08-28T01:14:13.0488964-06:00,meridian-api,84.55%,"637MiB / 7.651GiB"
2026-08-28T01:14:13.0488964-06:00,meridian-postgres,24.73%,"69.41MiB / 7.651GiB"
2026-08-28T01:14:13.0488964-06:00,meridian-redis,0.28%,"5.941MiB / 7.651GiB"
2026-08-28T01:14:18.1687806-06:00,meridian-api,81.60%,"637MiB / 7.651GiB"
2026-08-28T01:14:18.1687806-06:00,meridian-postgres,19.62%,"52.92MiB / 7.651GiB"
2026-08-28T01:14:18.1687806-06:00,meridian-redis,0.30%,"6.094MiB / 7.651GiB"
2026-08-28T01:14:23.2903191-06:00,meridian-api,81.86%,"637.2MiB / 7.651GiB"
2026-08-28T01:14:23.2903191-06:00,meridian-postgres,25.61%,"50.55MiB / 7.651GiB"
2026-08-28T01:14:23.2903191-06:00,meridian-redis,0.34%,"5.77MiB / 7.651GiB"
2026-08-28T01:14:28.4098416-06:00,meridian-api,104.09%,"637.7MiB / 7.651GiB"
2026-08-28T01:14:28.4098416-06:00,meridian-postgres,20.03%,"58.05MiB / 7.651GiB"
2026-08-28T01:14:28.4098416-06:00,meridian-redis,0.27%,"6.23MiB / 7.651GiB"
2026-08-28T01:14:33.5418480-06:00,meridian-api,90.45%,"637.1MiB / 7.651GiB"
2026-08-28T01:14:33.5418480-06:00,meridian-postgres,21.44%,"57.48MiB / 7.651GiB"
2026-08-28T01:14:33.5418480-06:00,meridian-redis,0.29%,"6.188MiB / 7.651GiB"
2026-08-28T01:14:38.6717372-06:00,meridian-api,92.83%,"637.3MiB / 7.651GiB"
2026-08-28T01:14:38.6717372-06:00,meridian-postgres,23.46%,"57.04MiB / 7.651GiB"
2026-08-28T01:14:38.6717372-06:00,meridian-redis,0.31%,"6.301MiB / 7.651GiB"
2026-08-28T01:14:43.7973204-06:00,meridian-api,82.79%,"637.2MiB / 7.651GiB"
2026-08-28T01:14:43.7973204-06:00,meridian-postgres,20.08%,"62.06MiB / 7.651GiB"
2026-08-28T01:14:43.7973204-06:00,meridian-redis,0.30%,"6.223MiB / 7.651GiB"
2026-08-28T01:14:48.9148758-06:00,meridian-api,102.63%,"637.3MiB / 7.651GiB"
2026-08-28T01:14:48.9148758-06:00,meridian-postgres,21.86%,"61.9MiB / 7.651GiB"
2026-08-28T01:14:48.9148758-06:00,meridian-redis,0.31%,"6.164MiB / 7.651GiB"
2026-08-28T01:14:54.0295060-06:00,meridian-api,84.76%,"636.9MiB / 7.651GiB"
2026-08-28T01:14:54.0295060-06:00,meridian-postgres,26.35%,"55.17MiB / 7.651GiB"
2026-08-28T01:14:54.0295060-06:00,meridian-redis,0.29%,"6.398MiB / 7.651GiB"
2026-08-28T01:14:59.1526994-06:00,meridian-api,103.78%,"637.7MiB / 7.651GiB"
2026-08-28T01:14:59.1526994-06:00,meridian-postgres,20.05%,"54.99MiB / 7.651GiB"
2026-08-28T01:14:59.1526994-06:00,meridian-redis,0.31%,"5.922MiB / 7.651GiB"
2026-08-28T01:15:04.2738545-06:00,meridian-api,18.88%,"635.4MiB / 7.651GiB"
2026-08-28T01:15:04.2738545-06:00,meridian-postgres,0.00%,"52.08MiB / 7.651GiB"
2026-08-28T01:15:04.2738545-06:00,meridian-redis,0.34%,"6.137MiB / 7.651GiB"
