timestamp,name,cpu,memory
2026-08-28T01:07:30.8508370-06:00,meridian-api,5.29%,"500.7MiB / 7.651GiB"
2026-08-28T01:07:30.8508370-06:00,meridian-postgres,0.00%,"39.96MiB / 7.651GiB"
2026-08-28T01:07:30.8508370-06:00,meridian-redis,0.33%,"6.496MiB / 7.651GiB"
2026-08-28T01:07:35.9835289-06:00,meridian-api,115.09%,"502.1MiB / 7.651GiB"
2026-08-28T01:07:35.9835289-06:00,meridian-postgres,26.50%,"58.94MiB / 7.651GiB"
2026-08-28T01:07:35.9835289-06:00,meridian-redis,0.34%,"6.48MiB / 7.651GiB"
2026-08-28T01:07:41.1063670-06:00,meridian-api,123.85%,"557.9MiB / 7.651GiB"
2026-08-28T01:07:41.1063670-06:00,meridian-postgres,24.72%,"62.38MiB / 7.651GiB"
2026-08-28T01:07:41.1063670-06:00,meridian-redis,0.31%,"6.328MiB / 7.651GiB"
2026-08-28T01:07:46.2200380-06:00,meridian-api,88.45%,"534.1MiB / 7.651GiB"
2026-08-28T01:07:46.2200380-06:00,meridian-postgres,21.39%,"62.44MiB / 7.651GiB"
2026-08-28T01:07:46.2200380-06:00,meridian-redis,0.29%,"6.051MiB / 7.651GiB"
2026-08-28T01:07:51.3415785-06:00,meridian-api,91.73%,"533.8MiB / 7.651GiB"
2026-08-28T01:07:51.3415785-06:00,meridian-postgres,21.93%,"62.05MiB / 7.651GiB"
2026-08-28T01:07:51.3415785-06:00,meridian-redis,1.24%,"10.46MiB / 7.651GiB"
2026-08-28T01:07:56.4749749-06:00,meridian-api,91.15%,"533.8MiB / 7.651GiB"
2026-08-28T01:07:56.4749749-06:00,meridian-postgres,21.66%,"61.74MiB / 7.651GiB"
2026-08-28T01:07:56.4749749-06:00,meridian-redis,0.32%,"6.418MiB / 7.651GiB"
2026-08-28T01:08:01.6002001-06:00,meridian-api,111.82%,"534MiB / 7.651GiB"
2026-08-28T01:08:01.6002001-06:00,meridian-postgres,20.75%,"61.85MiB / 7.651GiB"
2026-08-28T01:08:01.6002001-06:00,meridian-redis,3.69%,"6.355MiB / 7.651GiB"
2026-08-28T01:08:06.7410942-06:00,meridian-api,89.38%,"535.1MiB / 7.651GiB"
2026-08-28T01:08:06.7410942-06:00,meridian-postgres,20.71%,"61.94MiB / 7.651GiB"
2026-08-28T01:08:06.7410942-06:00,meridian-redis,3.32%,"6.703MiB / 7.651GiB"
2026-08-28T01:08:11.8678105-06:00,meridian-api,97.16%,"558.5MiB / 7.651GiB"
2026-08-28T01:08:11.8678105-06:00,meridian-postgres,21.04%,"62.21MiB / 7.651GiB"
2026-08-28T01:08:11.8678105-06:00,meridian-redis,3.15%,"6.836MiB / 7.651GiB"
2026-08-28T01:08:16.9882587-06:00,meridian-api,87.65%,"560.5MiB / 7.651GiB"
2026-08-28T01:08:16.9882587-06:00,meridian-postgres,22.37%,"61.73MiB / 7.651GiB"
2026-08-28T01:08:16.9882587-06:00,meridian-redis,3.45%,"6.445MiB / 7.651GiB"
2026-08-28T01:08:22.1267427-06:00,meridian-api,123.31%,"591.3MiB / 7.651GiB"
2026-08-28T01:08:22.1267427-06:00,meridian-postgres,24.11%,"62.38MiB / 7.651GiB"
2026-08-28T01:08:22.1267427-06:00,meridian-redis,3.80%,"5.875MiB / 7.651GiB"
2026-08-28T01:08:27.2497825-06:00,meridian-api,101.47%,"592.2MiB / 7.651GiB"
2026-08-28T01:08:27.2497825-06:00,meridian-postgres,23.23%,"61.67MiB / 7.651GiB"
2026-08-28T01:08:27.2497825-06:00,meridian-redis,3.52%,"6.188MiB / 7.651GiB"
2026-08-28T01:08:32.3790342-06:00,meridian-api,125.06%,"636.6MiB / 7.651GiB"
2026-08-28T01:08:32.3790342-06:00,meridian-postgres,23.63%,"62.54MiB / 7.651GiB"
2026-08-28T01:08:32.3790342-06:00,meridian-redis,3.15%,"6.672MiB / 7.651GiB"
2026-08-28T01:08:37.5164647-06:00,meridian-api,32.47%,"634.6MiB / 7.651GiB"
2026-08-28T01:08:37.5164647-06:00,meridian-postgres,4.26%,"69.38MiB / 7.651GiB"
2026-08-28T01:08:37.5164647-06:00,meridian-redis,4.18%,"6.391MiB / 7.651GiB"
