timestamp,name,cpu,memory
2026-08-28T01:05:27.9279484-06:00,meridian-api,0.57%,"239.5MiB / 7.651GiB"
2026-08-28T01:05:27.9279484-06:00,meridian-postgres,0.49%,"40.59MiB / 7.651GiB"
2026-08-28T01:05:27.9279484-06:00,meridian-redis,0.32%,"6.039MiB / 7.651GiB"
2026-08-28T01:05:33.0498449-06:00,meridian-api,0.00%,"239.3MiB / 7.651GiB"
2026-08-28T01:05:33.0498449-06:00,meridian-postgres,10.60%,"45.48MiB / 7.651GiB"
2026-08-28T01:05:33.0498449-06:00,meridian-redis,0.35%,"6.52MiB / 7.651GiB"
2026-08-28T01:05:38.1758708-06:00,meridian-api,57.32%,"275.1MiB / 7.651GiB"
2026-08-28T01:05:38.1758708-06:00,meridian-postgres,12.22%,"45.41MiB / 7.651GiB"
2026-08-28T01:05:38.1758708-06:00,meridian-redis,0.34%,"6.746MiB / 7.651GiB"
2026-08-28T01:05:43.2982128-06:00,meridian-api,48.34%,"286.6MiB / 7.651GiB"
2026-08-28T01:05:43.2982128-06:00,meridian-postgres,10.97%,"45.54MiB / 7.651GiB"
2026-08-28T01:05:43.2982128-06:00,meridian-redis,0.30%,"6.215MiB / 7.651GiB"
2026-08-28T01:05:48.4161002-06:00,meridian-api,47.30%,"298.4MiB / 7.651GiB"
2026-08-28T01:05:48.4161002-06:00,meridian-postgres,10.84%,"45.9MiB / 7.651GiB"
2026-08-28T01:05:48.4161002-06:00,meridian-redis,0.31%,"6.449MiB / 7.651GiB"
2026-08-28T01:05:53.5392324-06:00,meridian-api,48.00%,"335.6MiB / 7.651GiB"
2026-08-28T01:05:53.5392324-06:00,meridian-postgres,10.79%,"45.91MiB / 7.651GiB"
2026-08-28T01:05:53.5392324-06:00,meridian-redis,0.33%,"6.926MiB / 7.651GiB"
2026-08-28T01:05:58.6569579-06:00,meridian-api,64.94%,"338.3MiB / 7.651GiB"
2026-08-28T01:05:58.6569579-06:00,meridian-postgres,10.73%,"45.94MiB / 7.651GiB"
2026-08-28T01:05:58.6569579-06:00,meridian-redis,0.33%,"6.605MiB / 7.651GiB"
2026-08-28T01:06:03.7688518-06:00,meridian-api,60.89%,"423.5MiB / 7.651GiB"
2026-08-28T01:06:03.7688518-06:00,meridian-postgres,17.76%,"60.73MiB / 7.651GiB"
2026-08-28T01:06:03.7688518-06:00,meridian-redis,0.34%,"6.008MiB / 7.651GiB"
2026-08-28T01:06:08.8963142-06:00,meridian-api,49.67%,"471.8MiB / 7.651GiB"
2026-08-28T01:06:08.8963142-06:00,meridian-postgres,11.34%,"61.43MiB / 7.651GiB"
2026-08-28T01:06:08.8963142-06:00,meridian-redis,0.29%,"6.117MiB / 7.651GiB"
2026-08-28T01:06:14.0037971-06:00,meridian-api,52.43%,"472.1MiB / 7.651GiB"
2026-08-28T01:06:14.0037971-06:00,meridian-postgres,11.05%,"45.85MiB / 7.651GiB"
2026-08-28T01:06:14.0037971-06:00,meridian-redis,0.30%,"6.438MiB / 7.651GiB"
2026-08-28T01:06:19.1206882-06:00,meridian-api,65.36%,"471.7MiB / 7.651GiB"
2026-08-28T01:06:19.1206882-06:00,meridian-postgres,11.32%,"43.21MiB / 7.651GiB"
2026-08-28T01:06:19.1206882-06:00,meridian-redis,0.28%,"6.332MiB / 7.651GiB"
2026-08-28T01:06:24.2266422-06:00,meridian-api,47.70%,"501.8MiB / 7.651GiB"
2026-08-28T01:06:24.2266422-06:00,meridian-postgres,11.28%,"43.36MiB / 7.651GiB"
2026-08-28T01:06:24.2266422-06:00,meridian-redis,0.31%,"6.438MiB / 7.651GiB"
2026-08-28T01:06:29.3343456-06:00,meridian-api,64.80%,"502.1MiB / 7.651GiB"
2026-08-28T01:06:29.3343456-06:00,meridian-postgres,11.39%,"45.59MiB / 7.651GiB"
2026-08-28T01:06:29.3343456-06:00,meridian-redis,0.31%,"6.582MiB / 7.651GiB"
2026-08-28T01:06:34.4395796-06:00,meridian-api,11.06%,"500.5MiB / 7.651GiB"
2026-08-28T01:06:34.4395796-06:00,meridian-postgres,0.00%,"46.29MiB / 7.651GiB"
2026-08-28T01:06:34.4395796-06:00,meridian-redis,0.34%,"6.289MiB / 7.651GiB"
