timestamp,name,cpu,memory
2026-08-28T01:16:58.2473742-06:00,meridian-api,0.00%,"288.4MiB / 7.651GiB"
2026-08-28T01:16:58.2473742-06:00,meridian-postgres,0.00%,"40.26MiB / 7.651GiB"
2026-08-28T01:16:58.2473742-06:00,meridian-redis,0.35%,"5.848MiB / 7.651GiB"
2026-08-28T01:17:03.3739296-06:00,meridian-api,126.52%,"302MiB / 7.651GiB"
2026-08-28T01:17:03.3739296-06:00,meridian-postgres,20.76%,"60.67MiB / 7.651GiB"
2026-08-28T01:17:03.3739296-06:00,meridian-redis,0.32%,"5.816MiB / 7.651GiB"
2026-08-28T01:17:08.4869784-06:00,meridian-api,82.66%,"412.6MiB / 7.651GiB"
2026-08-28T01:17:08.4869784-06:00,meridian-postgres,19.71%,"62.37MiB / 7.651GiB"
2026-08-28T01:17:08.4869784-06:00,meridian-redis,0.34%,"6.047MiB / 7.651GiB"
2026-08-28T01:17:13.6093446-06:00,meridian-api,80.99%,"483.4MiB / 7.651GiB"
2026-08-28T01:17:13.6093446-06:00,meridian-postgres,18.90%,"61.96MiB / 7.651GiB"
2026-08-28T01:17:13.6093446-06:00,meridian-redis,0.32%,"5.898MiB / 7.651GiB"
2026-08-28T01:17:18.7164454-06:00,meridian-api,95.43%,"489.8MiB / 7.651GiB"
2026-08-28T01:17:18.7164454-06:00,meridian-postgres,18.96%,"52.71MiB / 7.651GiB"
2026-08-28T01:17:18.7164454-06:00,meridian-redis,0.32%,"6.16MiB / 7.651GiB"
2026-08-28T01:17:23.8336268-06:00,meridian-api,87.24%,"489.5MiB / 7.651GiB"
2026-08-28T01:17:23.8336268-06:00,meridian-postgres,19.52%,"57.28MiB / 7.651GiB"
2026-08-28T01:17:23.8336268-06:00,meridian-redis,0.31%,"6.293MiB / 7.651GiB"
2026-08-28T01:17:28.9604851-06:00,meridian-api,82.16%,"515.5MiB / 7.651GiB"
2026-08-28T01:17:28.9604851-06:00,meridian-postgres,20.23%,"57.43MiB / 7.651GiB"
2026-08-28T01:17:28.9604851-06:00,meridian-redis,0.31%,"6.316MiB / 7.651GiB"
2026-08-28T01:17:34.0759880-06:00,meridian-api,84.54%,"538.8MiB / 7.651GiB"
2026-08-28T01:17:34.0759880-06:00,meridian-postgres,19.72%,"52.76MiB / 7.651GiB"
2026-08-28T01:17:34.0759880-06:00,meridian-redis,0.32%,"6.496MiB / 7.651GiB"
2026-08-28T01:17:39.1909096-06:00,meridian-api,80.98%,"547.1MiB / 7.651GiB"
2026-08-28T01:17:39.1909096-06:00,meridian-postgres,19.86%,"49.94MiB / 7.651GiB"
2026-08-28T01:17:39.1909096-06:00,meridian-redis,0.31%,"6.152MiB / 7.651GiB"
2026-08-28T01:17:44.3084549-06:00,meridian-api,103.70%,"565.7MiB / 7.651GiB"
2026-08-28T01:17:44.3084549-06:00,meridian-postgres,19.52%,"50.55MiB / 7.651GiB"
2026-08-28T01:17:44.3084549-06:00,meridian-redis,0.32%,"6.281MiB / 7.651GiB"
2026-08-28T01:17:49.4189604-06:00,meridian-api,82.57%,"565.5MiB / 7.651GiB"
2026-08-28T01:17:49.4189604-06:00,meridian-postgres,19.25%,"51.07MiB / 7.651GiB"
2026-08-28T01:17:49.4189604-06:00,meridian-redis,0.29%,"6.527MiB / 7.651GiB"
2026-08-28T01:17:54.5445692-06:00,meridian-api,100.46%,"585.6MiB / 7.651GiB"
2026-08-28T01:17:54.5445692-06:00,meridian-postgres,20.99%,"59.71MiB / 7.651GiB"
2026-08-28T01:17:54.5445692-06:00,meridian-redis,0.36%,"6.234MiB / 7.651GiB"
2026-08-28T01:17:59.6829273-06:00,meridian-api,83.50%,"605.8MiB / 7.651GiB"
2026-08-28T01:17:59.6829273-06:00,meridian-postgres,19.50%,"59.45MiB / 7.651GiB"
2026-08-28T01:17:59.6829273-06:00,meridian-redis,0.33%,"6.543MiB / 7.651GiB"
2026-08-28T01:18:04.8025207-06:00,meridian-api,16.34%,"604.5MiB / 7.651GiB"
2026-08-28T01:18:04.8025207-06:00,meridian-postgres,0.67%,"52.8MiB / 7.651GiB"
2026-08-28T01:18:04.8025207-06:00,meridian-redis,0.31%,"6.68MiB / 7.651GiB"
2026-08-28T01:18:09.9202727-06:00,meridian-api,10.17%,"604.5MiB / 7.651GiB"
2026-08-28T01:18:09.9202727-06:00,meridian-postgres,0.00%,"50.2MiB / 7.651GiB"
2026-08-28T01:18:09.9202727-06:00,meridian-redis,0.30%,"6.645MiB / 7.651GiB"
